Raw_Taxon,Stele Diameter,Stele Area,No Primary Metaxylem Vessels,Primary Metaxylem Diameter,Primary Metaxylem Area,Endodermal Thickening,Endodermal Cell Depth
Andropogon tectorum,419.673,138328.729,11,55.976,2460.892,2.698,14.512
Andropogon tectorum,,,,52.605,2173.419,3.323,16.18
Andropogon tectorum,,,,49.789,1946.997,2.043,9.877
Andropogon tectorum,,,,61.363,2957.314,2.204,14.301
Andropogon tectorum,,,,67.177,3544.325,2.733,15.281
Andropogon tectorum,,,,64.587,3276.301,2.538,12.696
Andropogon tectorum,,,,57.723,2616.901,2.691,12.448
Andropogon tectorum,,,,38.381,1156.966,2.792,15.281
Andropogon tectorum,,,,51.208,2059.532,2.858,14.472
Andropogon tectorum,,,,45.947,1658.068,2.337,11.801
Andropogon tectorum,,,,53.931,2284.393,1.732,16.016
Andropogon tectorum,,,,,,1.651,16.777
Andropogon tectorum,,,,,,2.971,18.57
Andropogon tectorum,,,,,,3.407,12.656
Andropogon tectorum,,,,,,2.62,14.339
Andropogon tectorum,,,,,,3.098,14.031
Andropogon tectorum,,,,,,2.591,13.394
Andropogon tectorum,,,,,,2.284,11.306
Andropogon tectorum,,,,,,2.261,11.178
Andropogon tectorum,,,,,,2.27,10.488
Andropogon tectorum,,,,,,2.315,11.509
Andropogon tectorum,,,,,,1.953,6.99
Andropogon tectorum,,,,,,2.865,10.815
Andropogon tectorum,,,,,,2.764,10.16
Anomochloa marantoidea,540.161,229158.509,21,36.853,1066.707,9.487,21.591
Anomochloa marantoidea,,,,29.33,675.661,10.417,18.862
Anomochloa marantoidea,,,,32.461,827.564,9.577,19.335
Anomochloa marantoidea,,,,32.048,806.673,10.315,25.215
Anomochloa marantoidea,,,,32.135,811.044,6.677,20.411
Anomochloa marantoidea,,,,28.173,623.377,5.9,20.806
Anomochloa marantoidea,,,,28.867,654.498,5.903,19.672
Anomochloa marantoidea,,,,35.492,989.351,7.429,17.801
Anomochloa marantoidea,,,,26.691,559.522,9.626,24.377
Anomochloa marantoidea,,,,26.726,561.01,10.377,18.197
Anomochloa marantoidea,,,,33.692,891.556,7.857,19.529
Anomochloa marantoidea,,,,29.188,669.12,,
Anomochloa marantoidea,,,,30.839,746.937,,
Anomochloa marantoidea,,,,35.15,970.39,,
Anomochloa marantoidea,,,,25.399,506.651,,
Anomochloa marantoidea,,,,28.613,643.02,,
Anomochloa marantoidea,,,,26.597,555.58,,
Anomochloa marantoidea,,,,27.118,577.571,,
Anomochloa marantoidea,,,,20.41,327.16,,
Anomochloa marantoidea,,,,20.344,325.063,,
Anomochloa marantoidea,,,,21.522,363.794,,
Anomochloa marantoidea,,,,21.636,367.662,,
Aristida purpurea,345.636,93827.065,10,24.534,473.753,5.279,17.564
Aristida purpurea,,,,29.764,695.765,7.68,18.961
Aristida purpurea,,,,27.157,579.238,7.527,18.237
Aristida purpurea,,,,33.253,868.443,5.785,19.192
Aristida purpurea,,,,25.963,529.407,6.794,19.157
Aristida purpurea,,,,19.511,298.974,5.515,15.583
Aristida purpurea,,,,17.538,241.575,6.127,17.311
Aristida purpurea,,,,31.575,783.047,4.955,16.5
Aristida purpurea,,,,25.713,519.271,,
Aristida purpurea,,,,568.777,568.777,,
Aristida ternipes,331.343,86227.622,6,57.587,2604.595,3.3,16.719
Aristida ternipes,,,,48.951,1882.007,4.494,17.425
Aristida ternipes,,,,37.297,1092.566,6.156,17.705
Aristida ternipes,,,,55.18,2391.447,4.487,15.918
Aristida ternipes,,,,46.4,1690.955,4.013,17.911
Aristida ternipes,,,,44.63,1564.397,3.7,13.944
Aristida ternipes,,,,,,4.497,15.911
Arundinaria gigantea,506.1,201169.591,13,62.616,3079.365,10.813,18.144
Arundinaria gigantea,,,,44.922,1584.925,7.301,19.504
Arundinaria gigantea,,,,52.172,2137.822,8.122,23.089
Arundinaria gigantea,,,,59.085,2741.865,7.866,18.189
Arundinaria gigantea,,,,50.071,1969.046,14.749,24.053
Arundinaria gigantea,,,,36.038,1020.015,9.207,21.143
Arundinaria gigantea,,,,56.414,2499.53,8.819,16.994
Arundinaria gigantea,,,,57.821,2625.82,11.989,18.717
Arundinaria gigantea,,,,62.55,3072.891,8.994,18.41
Arundinaria gigantea,,,,56.631,2518.797,12.155,17.964
Arundinaria gigantea,,,,64.012,3218.213,,
Arundinaria gigantea,,,,54.752,2354.441,,
Arundinaria gigantea,,,,46.522,1699.852,,
Arundinella deppeana,245.957,47512.6863,3,37.804,1122.45,4.665,16.854
Arundinella deppeana,,,,47.8,1794.484,3.523,19.244
Arundinella deppeana,,,,46.291,1683.03,3.363,18.161
Arundinella deppeana,,,,,,5.322,16.512
Arundinella deppeana,,,,,,5.401,20.19
Arundinella deppeana,,,,,,5.628,19.833
Bambusa bambos,218.357,37447.554,3,24.392,467.3,6.021,14.991
Bambusa bambos,,,,25.603,514.831,5.703,17.283
Bambusa bambos,,,,25.392,506.406,5.207,17.041
Bambusa bambos,,,,,,4.888,15.002
Bambusa bambos,,,,,,7.155,18.517
Bambusa bambos,,,,,,5.55,16.593
Bouteloua curtipendula,410.395,132279.703,8,25.481,509.932,2.959,9.73
Bouteloua curtipendula,,,,22.453,395.931,1.6,11.352
Bouteloua curtipendula,,,,23.09,418.719,2.071,13.26
Bouteloua curtipendula,,,,26.317,543.967,1.845,15.875
Bouteloua curtipendula,,,,27.614,598.912,2.009,12.699
Bouteloua curtipendula,,,,26.95,570.444,2.795,13.721
Bouteloua curtipendula,,,,27.265,583.829,2.009,12.739
Bouteloua curtipendula,,,,24.998,490.803,1.382,11.367
Bouteloua curtipendula,,,,,,2.861,13.203
Brachyelytrum erectum,307.394,74213.194,10,31.713,789.894,3.679,12.007
Brachyelytrum erectum,,,,31.075,758.443,3.735,11.55
Brachyelytrum erectum,,,,36.844,1066.164,4.991,11.497
Brachyelytrum erectum,,,,39.692,1237.35,3.658,13.375
Brachyelytrum erectum,,,,35.624,996.742,3.95,12.854
Brachyelytrum erectum,,,,37.204,1087.115,3.179,13.748
Brachyelytrum erectum,,,,34.21,919.174,2.977,11.774
Brachyelytrum erectum,,,,34.451,932.166,3.719,14.079
Brachyelytrum erectum,,,,37.791,1121.662,3.737,14.288
Brachyelytrum erectum,,,,30.057,709.547,4.028,13.568
Brachyelytrum erectum,,,,,,3.555,12.448
Brachyelytrum erectum,,,,,,3.584,11.42
Brachyelytrum erectum,,,,,,3.023,13.763
Brachyelytrum erectum,,,,,,3.737,16.517
Brachyelytrum erectum,,,,,,4.09,13.222
Brachyelytrum erectum,,,,,,3.074,10.859
Brachyelytrum erectum,,,,,,3.95,12.401
Brachyelytrum erectum,,,,,,2.883,12.636
Bromus inermis,169.01,22434.481,4,33.332,872.615,20.916,27.519
Bromus inermis,,,,23.327,427.377,18.722,26.131
Bromus inermis,,,,18.511,269.122,16.643,24.656
Bromus inermis,,,,29.047,662.663,18.96,26.274
Bromus inermis,,,,,,17.518,28.029
Bromus inermis,,,,,,17.393,25.603
Bromus inermis,,,,,,17.015,24.548
Bromus tectorum,186.414,27292.696,6,22.078,382.847,4.712,10.005
Bromus tectorum,,,,23.638,438.854,4.052,7.596
Bromus tectorum,,,,23.32,427.128,2.772,7.417
Bromus tectorum,,,,23.035,416.389,5.129,14.817
Bromus tectorum,,,,19.43,296.496,4.95,12.991
Bromus tectorum,,,,24.985,490.285,4.863,15.292
Bromus tectorum,,,,,,4.743,12.152
Bromus vulgaris,220.436,38164.073,17,15.212,181.734,3.862,18.987
Bromus vulgaris,,,,16.685,218.652,2.915,13.405
Bromus vulgaris,,,,23.473,432.723,2.643,15.186
Bromus vulgaris,,,,17.938,252.707,3.108,18.343
Bromus vulgaris,,,,16.524,214.448,2.81,11.529
Bromus vulgaris,,,,17.59,243.011,2.32,13.728
Bromus vulgaris,,,,19.874,310.2,2.263,19.348
Bromus vulgaris,,,,12.628,125.237,2.814,15.333
Bromus vulgaris,,,,10.925,93.739,3.334,16.275
Bromus vulgaris,,,,13.933,152.459,3.788,15.553
Bromus vulgaris,,,,13.691,147.207,3.365,19.87
Bromus vulgaris,,,,13.97,153.276,,
Bromus vulgaris,,,,14.312,160.876,,
Bromus vulgaris,,,,13.304,139.021,,
Bromus vulgaris,,,,13.567,144.555,,
Bromus vulgaris,,,,14.483,167.733,,
Bromus vulgaris,,,,14.15,157.259,,
Centotheca lappaceae,233.973,42995.17,,,,,
Centotheca lappaceae,,,9,42.144,1394.958,3.276,9.3
Centotheca lappaceae,,,,30.957,752.667,3.156,8.357
