Xvar,Fillvar,Group,Df,SS,MS,Rsq,Rsq.Pct,F,Z,Pr(>F),Sig level
Mean.Endodermal.Diameter,CoV Endodermal Diameter,Endodermal,1,1.4438,1.4438,0.058348,5.8348,6.5573,1.3164,0.023,*
Mean.Endodermal.Diameter,CoV Endodermal Thickening,Endodermal,1,2.4766,2.4766,0.10009,10.009,11.2482,1.3966,0.011,*
Mean.Endodermal.Diameter,Mean Endodermal Thickening,Endodermal,1,4.9946,4.9946,0.201849,20.1849,22.6842,1.884,0.002,**
Mean.Endodermal.Diameter,Metaxylem to Stele Ratio,Endodermal,1,2.8127,2.8127,0.113673,11.3673,12.7748,1.5963,0.001,**
Mean.Endodermal.Diameter,Photosynthetic Type,Endodermal,1,0.964,0.964,0.038957,3.8957,4.3781,1.4903,0.012,*
Mean.Endodermal.Diameter,Number of Metaxylem Vessels,Endodermal,1,0.9283,0.9283,0.037516,3.7516,4.2161,1.3024,0.02,*
Mean.Endodermal.Diameter,Precip Wettest Quarter,Endodermal,1,0.457,0.457,0.018469,1.8469,2.0756,1.1558,0.056,.
Mean.Endodermal.Diameter,Number of Metaxylem Vessels:Precip Wettest Quarter,Endodermal,1,0.9792,0.9792,0.039575,3.9575,4.4475,1.3747,0.011,*
Mean.Endodermal.Diameter,Unexplained,Endodermal,,,,0.391523,39.1523,,,,
CoV.Endodermal.Diameter,Mean Endodermal Thickening,Endodermal,1,0.0002901,0.00029008,0.084904,8.4904,6.3815,1.27391,0.025,*
CoV.Endodermal.Diameter,Precip Driest Week:Precip Wettest Quarter,Endodermal,1,0.0007222,0.00072223,0.211388,21.1388,15.8881,1.77243,0.003,**
CoV.Endodermal.Diameter,Unexplained,Endodermal,,,,0.63863,63.863,,,,
Mean.Endodermal.Thickening,CoV Endodermal Diameter,Endodermal,1,1.0657,1.06571,0.065318,6.5318,4.0585,1.20743,0.047,*
Mean.Endodermal.Thickening,Mean Metaxylem Area,Endodermal,1,2.0237,2.02375,0.124038,12.4038,7.7069,1.4837,0.015,*
Mean.Endodermal.Thickening,Subfamily,Endodermal,10,1.1602,0.11602,0.071112,7.1112,0.4418,1.42037,0.077,.
Mean.Endodermal.Thickening,Mean Annual Temp:Subfamily,Endodermal,10,4.3479,0.43479,0.266486,26.6486,1.6558,1.91881,0.014,*
Mean.Endodermal.Thickening,Unexplained,Endodermal,,,,0.466734,46.6734,,,,
CoV.Endodermal.Thickening,Mean Endodermal Diameter,Endodermal,1,0.0010011,0.00100111,0.086229,8.6229,6.0785,1.2077,0.047,*
CoV.Endodermal.Thickening,CoV Metaxylem Area,Endodermal,1,0.0009822,0.00098218,0.084598,8.4598,5.9635,1.2961,0.031,*
CoV.Endodermal.Thickening,Mean Endodermal Thickening,Endodermal,1,0.0008697,0.00086969,0.074909,7.4909,5.2805,1.18,0.042,*
CoV.Endodermal.Thickening,Precip Dry Quarter,Endodermal,1,0.0008515,0.00085151,0.073343,7.3343,5.1701,1.1827,0.047,*
CoV.Endodermal.Thickening,Unexplained,Endodermal,,,,0.680921,68.0921,,,,
Number.of.Endodermal.Layers,Total Metaxylem Area,Endodermal,1,6.763,6.7626,0.12476,12.476,10.4954,1.6668,0.025,*
