,Taxon,Taxon02,Raw_Taxon,Annual_Perennial2,Habitat3,Subfamily,Photosynthetic_Type,Stele.Diameter,Stele.Area,No.Primary.Metaxylem.Vessels,Mean.Metaxylem.Diameter,Mean.Metaxylem.Area,Mean.Endodermal.Thickening,Mean.Endodermal.Cell.Depth,SD.Metaxylem.Diameter,SD.Metaxylem.Area,SD.Endodermal.Thickening,SD.Endodermal.Cell.Depth,COV.Metaxylem.Diameter,COV.Metaxylem.Area,COV.Endodermal.Thickening,COV.Endodermal.Cell.Depth,Total.metaxylem.area,Metaxylem.to.Stele.Ratio,MAT.degC,Mdiurnalrange.degC,Isothermality,Tseasonality,MaxTwarmweek.degC,MinTcoldweek.degC,Tannrange.degC,MtempwetQ.degC,MtempdryQ.degC,MtempwarmQ.degC,MtempcoldQ.degC,AnnP.mm,Pwetweek.mm,Pdryweek.mm,Pseasonality,PwetQ.mm,PdryQ.mm,PwarmQ.mm,PcoldQ.mm,Annmeanradiation.Wm2,Highweekrad.Wm2,Lowweekrad.Wm2,Radseasonality,RadwetQ.Wm2,RaddryQ.Wm2,RadwarmQ.Wm2,RadcoldQ.Wm2,Annmoistureindex,Hweekmoistureindex,Lowweekmoistureindex,Mindexseasonality,MmoistureindexwetQ,MmoistureindexdryQ,MmoistureindexwarmQ,MmoistureindexcoldQ,FirstPCA1to35,SecondPCA1to35,ThirdPCA1to35,FourthPCA1to35,FifthPCA1to35,Number.Endodermal.Layers,Median.phloem.clusters,Genus
Phyllostachys_aurea,Phyllostachys_aurea,Phyllostachys_aurea,Phyllostachys aurea,Perennial,Shade,Bambusoideae,C3,638.359,320051.366,11,56.32883333,2531.245,8.5723,14.1362,7.381826946,615.5178558,0.88976914,2.05885269,0.131048817,0.243168028,0.103795847,0.145643998,30374.94,0.094906453,16.93707361,11.06177799,0.490231056,0.014985514,28.52653319,5.073715524,23.45281778,18.51970306,15.71812329,22.44304945,11.35860429,1125.57894,39.05811024,8.506381414,0.451956247,453.1297085,135.8193545,342.7946613,210.889595,166.1857679,226.9290868,101.4455469,0.258495192,163.1708755,171.3371578,208.2750509,117.4938927,0.80624281,1.124896674,0.473050104,0.292447238,1.072194477,0.528911277,0.740997966,0.875322114,0.644409319,0.267339347,0.596155845,0.106705387,0.232741241,10,5.5,Phyllostachys
Arundinaria_gigantea,Arundinaria_gigantea,Arundinaria_gigantea,Arundinaria gigantea,Perennial,Shade,Bambusoideae,C3,506.1,201169.591,13,54.12353846,2347.890923,10.0015,19.6207,8.066880134,649.0906871,2.362089012,2.360849379,0.14904569,0.276456917,0.236173475,0.120324422,30522.582,0.151725625,17.22675875,12.895336,0.41687496,0.023150759,32.44866228,1.012398172,31.43626446,14.0619747,19.13203019,25.55126631,8.380686358,1488.718719,41.93648994,17.88906175,0.216080124,482.0240335,268.2160611,360.4310818,377.280962,153.687161,213.5981874,86.39687753,0.281672493,144.6142812,150.8409431,196.6613202,97.58127546,0.952777512,1.21004831,0.651858781,0.209291868,1.184461933,0.706970509,0.755162768,1.128677959,0.37223356,0.457985686,1.53650759,0.526610372,0.94444018,10,5.5,Arundinaria
Bambusa_bambose,Bambusa_bambose,Bambusa_bambose,Bambusa bambos,Perennial,Shade,Bambusoideae,C3,218.357,37447.554,3,25.129,496.179,5.754,16.57116667,0.64692117,25.36222855,0.790882039,1.376474107,0.025744008,0.051115079,0.137449086,0.083064405,1488.537,0.039749913,20.88204626,10.3458362,0.584648258,0.0102169,30.70520738,10.91834522,19.78686245,22.57596302,19.79944739,24.59045373,16.89851029,1589.230593,70.49388504,4.673696103,0.734101826,793.1749866,91.37280809,360.9550914,399.2971347,168.3016956,217.5452282,120.4666681,0.211586415,162.7079556,178.6568598,201.1163001,132.1740473,0.876469298,1.479986764,0.341505665,0.476498566,1.367117703,0.418947709,0.744833453,0.916618191,0.666820605,1.523989675,-0.300105228,-0.009242225,0.819915143,6,7,Bambusa
Chusquea_circinata,Chusquea_circinata,Chusquea_liebmannii,Chusquea liebmannii,Perennial,Shade,Bambusoideae,C3,1196.199,1123819.978,17,66.17129412,3545.451471,3.2546,14.13046667,12.00159288,1182.554495,1.064297475,1.437854198,0.181371591,0.333541301,0.327013296,0.101755606,60272.675,0.053631966,23.73300593,10.32526817,0.784912955,0.002124895,30.84190623,17.68484861,13.15705739,23.35790513,23.91950989,24.66030745,23.00395815,2455.363636,95.6462978,5.027915572,0.677330991,1109.424784,93.22230923,381.3284514,578.1231856,186.0332138,218.2068449,158.1340577,0.097897176,175.0253111,195.5376712,210.2750267,162.4257692,1.127110178,1.77424834,0.327100339,0.441634168,1.661523237,0.413025693,0.73898124,1.234392762,0.938835802,2.353633642,-0.256377881,-0.02619088,1.417884816,15,7,Chusquea
Otatea_acuminata,Otatea_acuminata,Otatea_acuminata,Otatea acuminata,Perennial,Shade,Bambusoideae,C3,623.492,305317.419,12,65.51591667,3405.30325,8.235,13.96823077,9.145489663,913.6849886,1.245777535,0.891312156,0.139591875,0.268312371,0.151278389,0.063809953,40863.639,0.133839855,20.24487774,15.24591549,0.593607146,0.012043754,33.02940017,7.058368605,25.97103134,23.27887616,19.8123984,24.47322743,15.59063772,854.5383841,48.70260737,1.592925003,0.950770983,526.6524987,34.73697332,376.8227191,100.4487472,176.2398999,227.8755364,121.6713615,0.187475809,186.502827,200.189986,207.3040901,137.1440923,0.527872838,1.130485227,0.158899845,0.598024974,0.99014445,0.201295129,0.655718084,0.415660588,0.733238147,0.669792849,-0.921163632,0.411116226,-0.03477815,13,6,Otatea
Olyra_latifolia,Olyra_latifolia,Olyra_latifolia,Olyra latifolia,Perennial,Open,Bambusoideae,C3,254.349,50809.954,11,32.72490909,860.6458182,6.134555556,14.78788889,5.340214817,255.3043295,0.94485847,1.934678297,0.163185016,0.296642735,0.154022319,0.130828566,9467.104,0.186323806,24.06704103,9.910363224,0.711717142,0.003654341,31.06487854,17.03700339,14.02787508,24.45595261,23.4196128,25.38180651,22.61837975,1959.871012,70.13030779,10.55226083,0.521520879,806.305523,172.1443027,431.6525133,435.2941447,158.6971476,187.2506432,127.8253422,0.124647545,149.6436292,165.2192047,177.4826916,142.1903325,1.05178011,1.495665688,0.54650727,0.320255782,1.409217103,0.61561155,0.927391405,1.023945099,1.069483458,1.345087145,0.550791138,0.006710208,-0.121186071,9,5.5,Olyra
Raddia_brasiliensis,Raddia_brasiliensis,Raddia_brasiliensis,Raddia brasiliensis,Perennial,Shade,Bambusoideae,C3,288.101,65189.577,13,29.33592308,689.9305385,11.286875,19.109375,4.396376187,205.8766792,0.68955502,1.560544588,0.14986323,0.298402039,0.061093529,0.081663821,8969.097,0.137584832,23.30663104,8.533852404,0.665036688,0.004817984,29.63751793,16.75829107,12.87922727,24.1262813,22.28810839,24.9195056,21.30910041,1097.704573,37.90278881,9.595871291,0.412330048,429.8589217,149.8159351,310.2903869,219.1594594,153.4959176,174.7149311,125.2434082,0.100214207,152.6903421,154.9363235,167.1697454,138.954066,0.89148374,1.168632595,0.600767721,0.224373942,1.112631898,0.655259825,0.890790992,0.885841433,1.286607035,0.065383751,0.86472941,-0.27754,-1.267849456,8,5,Raddia
Pariana_radiciflora,Pariana_radiciflora,Pariana_radiciflora,Pariana radiciflora,Perennial,Shade,Bambusoideae,C3,182.834,26254.437,10,22.3745,413.2578,5.943375,13.702625,5.329237141,166.3784846,1.435358884,5.44135881,0.238183519,0.402602164,0.241505691,0.397103388,4132.578,0.157404937,26.16635354,9.830048005,0.815393671,0.001576021,32.47309192,20.32631667,12.14677501,25.88610252,26.37219572,26.79570246,25.60013326,2488.25,81.95519129,20.96515175,0.44311045,963.5391947,329.8794244,462.5156733,696.198534,138.6904252,166.209418,113.4834073,0.134627867,120.5218379,155.8717492,155.8985678,130.1774394,1.18645748,1.617525756,0.738760325,0.254857186,1.53546075,0.818718803,0.985001187,1.266078164,1.205941091,1.652393629,1.478434843,0.013100588,0.081824657,8,5.5,Pariana
Poa_palustris,Poa_palustris,Poa_pratensis,Poa pratensis,Annual,Open,Pooideae,C3,426.106,142601.997,11,29.07163636,676.2476364,6.8118,15.4628,4.182972753,183.5381822,1.256315052,1.754232646,0.143885012,0.271406763,0.18443217,0.113448576,7438.724,0.052164234,6.547752576,11.18308358,0.359974846,0.026269604,23.58425309,-8.761701454,32.34595448,9.20745406,5.382678582,15.88052189,-2.702434491,723.6411445,22.5078857,7.415693094,0.369259334,263.9718865,113.6530088,175.4726321,193.1667064,132.5823889,226.3732429,48.1724737,0.493704825,130.8477058,147.0459168,202.3947723,63.21575438,0.741035752,0.978840879,0.457518806,0.252090239,0.949315167,0.503930349,0.548168751,0.896551429,0.013664331,-0.11993007,0.531002757,-0.508631355,0.74331207,10,5,Poa
Bromus_vulgaris,Bromus_vulgaris,Bromus_vulgaris,Bromus vulgaris,Annual,Open,Pooideae,C3,220.436,38164.073,17,15.427,193.8139412,3.020181818,16.14154545,3.015922516,81.57598642,0.531685211,2.713783424,0.195496371,0.420898445,0.176044107,0.168124139,3294.837,0.086333474,8.676180639,13.3220868,0.470374222,0.019367049,25.16905203,-4.099396327,29.26844808,6.251803556,12.73079307,15.84416084,2.096459707,951.9038233,38.68222108,3.199595189,0.635841821,452.4381499,58.10391842,70.904504,431.7902373,148.6075827,257.2547314,55.7724461,0.468127001,103.7036021,202.7549297,227.8248341,69.12213061,0.766950133,1.247021415,0.242929423,0.495877129,1.205524446,0.285671929,0.303111243,1.191513565,0.13512525,0.725700037,-0.279028898,-1.248521638,2.626057311,11,3.5,Bromus
Triticum_turgidum,Triticum_turgidum,Triticum_aestivum,Triticum aestivum,Annual,Open,Pooideae,C3,196.187,30229.4,4,42.498,1459.22325,8.519555556,15.38822222,8.316141613,594.8172562,1.319714847,2.291778937,0.195683129,0.407625945,0.154904189,0.148930715,5836.893,0.193086631,13.37809345,12.22370296,0.44443865,0.019970967,28.64447983,-0.084396242,28.72887593,12.9950221,14.74802239,20.77866027,6.234512661,681.4574652,24.2333036,4.602627274,0.52102365,280.2010689,75.64780571,146.7574556,191.6320256,157.4589462,241.5886222,77.8898646,0.377991429,140.2093199,187.8340259,219.6646346,92.78647679,0.628076485,0.955025734,0.308301077,0.395186802,0.91306913,0.348934329,0.4125302,0.819879638,0.444353941,-0.124569572,0.10360188,-0.525533592,1.04955246,9,4,Triticum
