"Taxon","Taxon02","Raw_Taxon","Annual_Perennial2","Habitat3","Subfamily","Photosynthetic_Type","Stele.Diameter","Stele.Area","No.Primary.Metaxylem.Vessels","Mean.Metaxylem.Diameter","Mean.Metaxylem.Area","Mean.Endodermal.Thickening","Mean.Endodermal.Cell.Depth","SD.Metaxylem.Diameter","SD.Metaxylem.Area","SD.Endodermal.Thickening","SD.Endodermal.Cell.Depth","COV.Metaxylem.Diameter","COV.Metaxylem.Area","COV.Endodermal.Thickening","COV.Endodermal.Cell.Depth","Total.metaxylem.area","Metaxylem.to.Stele.Ratio","MAT.degC","Mdiurnalrange.degC","Isothermality","Tseasonality","MaxTwarmweek.degC","MinTcoldweek.degC","Tannrange.degC","MtempwetQ.degC","MtempdryQ.degC","MtempwarmQ.degC","MtempcoldQ.degC","AnnP.mm","Pwetweek.mm","Pdryweek.mm","Pseasonality","PwetQ.mm","PdryQ.mm","PwarmQ.mm","PcoldQ.mm","Annmeanradiation.Wm2","Highweekrad.Wm2","Lowweekrad.Wm2","Radseasonality","RadwetQ.Wm2","RaddryQ.Wm2","RadwarmQ.Wm2","RadcoldQ.Wm2","Annmoistureindex","Hweekmoistureindex","Lowweekmoistureindex","Mindexseasonality","MmoistureindexwetQ","MmoistureindexdryQ","MmoistureindexwarmQ","MmoistureindexcoldQ","FirstPCA1to35","SecondPCA1to35","ThirdPCA1to35","FourthPCA1to35","FifthPCA1to35","Number.Endodermal.Layers"
"Diheteropogon_amplectens","Andropogon_virginicus","Andropogon tectorum","Perennial","Open","Panicoideae","C4",419.673,138328.729,11,54.42609091,2375.918909,2.541625,13.12825,8.3185481,700.984148,0.453587517,2.629727681,0.152841183,0.295037068,0.178463588,0.200310604,26135.108,0.18893478,26.06008856,11.23718796,0.697509485,0.004132147,34.70559269,18.41778476,16.28780764,25.28840166,26.09369096,27.76840553,24.56848759,1266.961534,52.84971927,1.891644182,0.710552688,583.3568998,47.79014661,233.8689594,427.7665971,151.326992,180.4121642,110.7856543,0.156013168,134.6646834,163.4264965,174.2588389,122.086278,0.759361686,1.316086527,0.178511233,0.562462852,1.224806992,0.236632917,0.49800007,1.018703764,1.011563523,1.106512179,-0.58196253,-0.624491917,0.484690038,24
"Anomochloa_marantoidea","Anomochloa_marantoidea","Anomochloa marantoidea","Perennial","Shade","Anomochlooideae","C3",540.161,229158.509,21,28.60381818,659.9959545,8.505909091,20.52690909,4.817250872,214.1503335,1.796720927,2.383344937,0.168412862,0.324472191,0.211232087,0.11610832,14519.911,0.063361867,24.05478636,6.884061098,0.637030592,0.003446813,29.24999968,18.44408385,10.80591647,24.75424767,23.53991636,25.26060232,22.60045624,1529.5,36.14625041,21.79131635,0.116190083,422.8603719,327.3939768,405.4933421,366.4788208,154.8578974,171.6716614,129.1528371,0.086882415,163.2276204,153.7416128,168.9754537,135.1354014,1.125889838,1.178207636,1.072423816,0.025671165,1.14724201,1.098500292,1.110621532,1.145574292,1.456530631,-0.256124002,2.650969744,0.213509661,-1.43151317,11
"Aristida_purpurea","Aristida_purpurea","Aristida purpurea","Annual","Open","Aristidoideae","C4",345.636,93827.065,10,80.3785,555.825,6.20775,17.813125,171.6753388,195.2646054,1.02460651,1.321067257,2.135836558,0.351305906,0.165052798,0.074162577,5558.25,0.059239304,14.19619209,15.74841054,0.451311248,0.023929641,32.96146854,-2.302479133,35.26394737,14.83239375,14.63876355,23.3009433,5.807540948,358.25002,14.2798355,1.232689772,0.599773161,166.086444,27.29936878,81.76822603,115.5475509,172.4310778,253.0414054,91.18724784,0.324213136,168.2911749,197.2324792,233.1449287,104.139432,0.359982183,0.589750091,0.175618336,0.372466104,0.558530921,0.199218308,0.235480423,0.503815217,0.45052119,-0.738941491,-0.148733904,0.07440654,0.910458665,8
"Aristida_ternipes","Aristida_ternipes","Aristida ternipes","Annual","Open","Aristidoideae","C4",331.343,86227.622,6,48.34083333,1870.9945,4.378142857,16.50471429,7.377553454,555.2529066,0.908824777,1.388353787,0.152615355,0.296768861,0.207582257,0.08411862,11225.967,0.130189918,23.8538799,13.12130097,0.669546314,0.008514799,34.48007209,13.65095152,20.82912026,25.92733915,23.72175083,27.0804574,20.71673783,1240.127124,59.22883472,0.985635267,0.871391162,647.8605925,23.54975684,265.1632488,250.5105289,182.6692757,229.4796252,138.7758096,0.153533016,185.1672186,200.6256021,210.4807223,149.794997,0.664400763,1.219575902,0.145476949,0.537125598,1.105187168,0.190362334,0.503585947,0.685747462,0.920274073,0.95113847,-0.782324003,0.167679379,0.606526825,7
"Arundinaria_gigantea","Arundinaria_gigantea","Arundinaria gigantea","Perennial","Shade","Bambusoideae","C3",506.1,201169.591,13,54.12353846,2347.890923,10.0015,19.6207,8.066880134,649.0906871,2.362089012,2.360849379,0.14904569,0.276456917,0.236173475,0.120324422,30522.582,0.151725625,17.22675875,12.895336,0.41687496,0.023150759,32.44866228,1.012398172,31.43626446,14.0619747,19.13203019,25.55126631,8.380686358,1488.718719,41.93648994,17.88906175,0.216080124,482.0240335,268.2160611,360.4310818,377.280962,153.687161,213.5981874,86.39687753,0.281672493,144.6142812,150.8409431,196.6613202,97.58127546,0.952777512,1.21004831,0.651858781,0.209291868,1.184461933,0.706970509,0.755162768,1.128677959,0.37223356,0.457985686,1.53650759,0.526610372,0.94444018,10
"Arundinella_deppeana","Arundinella_deppeana","Arundinella deppeana","Perennial","Open","Panicoideae","C3",245.957,47512.6863,3,43.965,1533.321333,4.650333333,18.46566667,5.388665048,360.1623772,0.989827392,1.546339764,0.122567157,0.234890345,0.212850848,0.083741345,4599.964,0.09681549,22.89950617,10.61749338,0.776654136,0.002369685,30.16998245,16.43989979,13.73008258,22.6394768,22.93590176,23.88403154,22.05718168,2741.531992,100.04313,9.273689306,0.615793151,1144.979294,163.4946591,523.1195095,627.0869114,184.289477,213.8439764,157.0496422,0.093711032,175.8233851,191.4902657,206.0681732,162.5896999,1.20289142,1.81294183,0.467492366,0.397958383,1.684525431,0.561976709,0.941730861,1.236544132,0.923101753,2.454066334,0.226690485,0.295374594,1.123492777,6
"Bambusa_bambose","Bambusa_bambose","Bambusa bambos","Perennial","Shade","Bambusoideae","C3",218.357,37447.554,3,25.129,496.179,5.754,16.57116667,0.64692117,25.36222855,0.790882039,1.376474107,0.025744008,0.051115079,0.137449086,0.083064405,1488.537,0.039749913,20.88204626,10.3458362,0.584648258,0.0102169,30.70520738,10.91834522,19.78686245,22.57596302,19.79944739,24.59045373,16.89851029,1589.230593,70.49388504,4.673696103,0.734101826,793.1749866,91.37280809,360.9550914,399.2971347,168.3016956,217.5452282,120.4666681,0.211586415,162.7079556,178.6568598,201.1163001,132.1740473,0.876469298,1.479986764,0.341505665,0.476498566,1.367117703,0.418947709,0.744833453,0.916618191,0.666820605,1.523989675,-0.300105228,-0.009242225,0.819915143,6
"Bouteloua_gracilis","Bouteloua_curtipendula","Bouteloua curtipendula","Perennial","Open","Chloridoideae","C4",410.395,132279.703,8,25.521,514.067125,2.170111111,12.66066667,1.915924096,75.35009178,0.570497468,1.735373375,0.075072454,0.146576367,0.262888598,0.137068088,4112.537,0.031089705,15.10297397,14.56088379,0.537094492,0.018258873,30.08537713,0.419903123,29.66547394,18.46979681,12.37872196,21.71526583,8.400875412,611.076405,26.33258586,2.607650503,0.661671702,290.872555,45.3512702,201.5856011,105.6220258,169.3374172,232.0530577,104.7365185,0.253000579,184.8793956,165.182006,213.5810239,119.6748366,0.488042526,0.77081821,0.24613371,0.35226792,0.714607554,0.278233679,0.469849591,0.483027566,0.571570877,-0.338496542,-0.154256926,0.289536447,-0.044484875,9
"Brachyelytrum_aristosum","Brachyelytrum_erectum","Brachyelytrum erectum","Perennial","Shade","Pooideae","C3",307.394,74213.194,10,34.8661,961.8257,3.641611111,12.88922222,3.159488793,172.0893696,0.505433552,1.358503093,0.090617786,0.178919496,0.138793939,0.105398376,9618.257,0.12960306,7.426973494,10.33902532,0.292917029,0.030681189,25.01005103,-10.47872393,35.48877502,9.750024944,4.400724977,18.1446566,-3.945466583,1168.634149,28.97198026,16.17067388,0.172466346,352.0418924,231.6084081,297.5943142,286.2438913,127.9761161,205.158831,48.95147054,0.434586457,125.7354253,132.9123029,187.7430509,68.08120272,1.013219018,1.155919754,0.818975973,0.114246362,1.134914709,0.863570319,0.868809134,1.110964711,-0.103176267,0.176193878,1.613782037,0.101789507,0.544371512,18
"Bromus_inermis","Bromus_inermis","Bromus inermis","Perennial","Open","Pooideae","C3",169.01,22434.481,4,26.05425,557.94425,18.16671429,26.10857143,6.487441991,264.8583246,1.481206233,1.323264506,0.248997457,0.474703924,0.081534074,0.050683145,2231.777,0.09947977,7.015194148,11.67511325,0.35172841,0.027106057,24.521792,-9.080850696,33.60264271,12.03272369,2.79009909,16.61355963,-2.696570698,655.5346099,20.4020837,6.753987939,0.356038614,238.6497712,101.8185465,185.2866276,150.4575656,134.2305993,225.322193,49.76137347,0.481176385,166.144224,117.9509907,204.3161294,64.51484398,0.693450454,0.907181701,0.464159884,0.224355093,0.87759817,0.499983713,0.542507056,0.824271699,-0.089641527,-0.23131925,0.561878936,0.031347903,0.460219954,7
